client,desc,combined,service
SABEY,Intergate Ashburn Phase II Fitout Cx Services,SABEY Intergate Ashburn Phase II Fitout Cx Services,Cx
Allison Smith Co,Allison-Smith Protovision,Allison Smith Co Allison-Smith Protovision,Design
Quality Technology Services,Chiller Shortfall Pre-Design and Evaluation,Quality Technology Services Chiller Shortfall Pre-Design and Evaluation,Design
Verizon Wireless,Utility Invoice Payment and Management,Verizon Wireless Utility Invoice Payment and Management,Design
Verizon Wireless,Shockoe Expansion,Verizon Wireless Shockoe Expansion,Design
"Citigroup, Inc.","New Castle, Delaware OPS Chilled Water Replacement","Citigroup, Inc. New Castle, Delaware OPS Chilled Water Replacement",Design
"Facebook, Inc.",EAG Salt Lake Cx,"Facebook, Inc. EAG Salt Lake Cx",Commissioning
"Google, Inc.",Project Kale,"Google, Inc. Project Kale",Cx
Equinix,Equinix  DLB Project 1 ,Equinix Equinix  DLB Project 1 ,Design
Equinix,Equinix DLB Project 2,Equinix Equinix DLB Project 2,Design
Tierpoint,Energy Audits,Tierpoint Energy Audits,Energy Management
Verizon Wireless,Bloomington A&E - Inverter Move & Exterior Wall,Verizon Wireless Bloomington A&E - Inverter Move & Exterior Wall,Design
"Citigroup, Inc.","Building Envelope Upgrades - Design & Bid Services - San Antonio, TX","Citigroup, Inc. Building Envelope Upgrades - Design & Bid Services - San Antonio, TX",Design
Digital Realty Trust,West Coast ,Digital Realty Trust West Coast ,Design
"Citigroup, Inc.","Air Management Analysis 3rd Floor IT Room - Elk Grove, IL","Citigroup, Inc. Air Management Analysis 3rd Floor IT Room - Elk Grove, IL",Design
"Citigroup, Inc.","Add Drycooler 3rd Floor DataAire Units (Design and CA) - Elk Grove, IL","Citigroup, Inc. Add Drycooler 3rd Floor DataAire Units (Design and CA) - Elk Grove, IL",Design
"Citigroup, Inc.","Minimate Issue - Schematic Design (SD) - Elk Grove, IL","Citigroup, Inc. Minimate Issue - Schematic Design (SD) - Elk Grove, IL",Design
Verizon Wireless,West Roxbury NDIR385 Audit,Verizon Wireless West Roxbury NDIR385 Audit,Energy Management
Verizon Wireless,Talmadge - CRAN HUB Utility,Verizon Wireless Talmadge - CRAN HUB Utility,Design
Mountain Wireless,VZW Mountain West - CO Broncos Mechanical Design,Mountain Wireless VZW Mountain West - CO Broncos Mechanical Design,Design
Verizon Wireless,UW Madison Hub A&E (CRAN),Verizon Wireless UW Madison Hub A&E (CRAN),Design
"Citigroup, Inc.",Breaker Maintenance MOP - Elk Grove. IL,"Citigroup, Inc. Breaker Maintenance MOP - Elk Grove. IL","Other (Owner's Rep, Ops Support, etc.)"
Digital Realty Trust,BOS14 PUE - Owners Rep,Digital Realty Trust BOS14 PUE - Owners Rep,"Other (Owner's Rep, Ops Support, etc.)"
Verizon Wireless,Foxboro 3 MA & Tewksbury MA CRAN A&E,Verizon Wireless Foxboro 3 MA & Tewksbury MA CRAN A&E,Design
Enterprise Controls Group,Controls Opportunity,Enterprise Controls Group Controls Opportunity,MSI
TRS Atlanta,MeSun Skilled Nursing & Rehab Center - Controls Integration,TRS Atlanta MeSun Skilled Nursing & Rehab Center - Controls Integration,MSI
Colo D,St Bruno Campus,Colo D St Bruno Campus,Design
Verizon Wireless,Rochester BAS and MSI Services,Verizon Wireless Rochester BAS and MSI Services,MSI
NBBJ,Citi Rutherford 2nd Floor LEED Cx,NBBJ Citi Rutherford 2nd Floor LEED Cx,Cx
Digital Realty Trust,PUE Submetering - OAK10 Design Services,Digital Realty Trust PUE Submetering - OAK10 Design Services,Design
Verizon Wireless,Windsor Plan C MSI Services,Verizon Wireless Windsor Plan C MSI Services,MSI
"Facebook, Inc.",Master Global Test Scripts - Equipment Settings Standardization (ESS),"Facebook, Inc. Master Global Test Scripts - Equipment Settings Standardization (ESS)",Cx
Digital Realty Trust,IAD30 PUE - PM & Owners Rep,Digital Realty Trust IAD30 PUE - PM & Owners Rep,"Other (Owner's Rep, Ops Support, etc.)"
Digital Realty Trust,OAK10 PUE Additional Design Services T&M,Digital Realty Trust OAK10 PUE Additional Design Services T&M,Design
Digital Realty Trust,LAX12 PUE - PM & Owners Rep,Digital Realty Trust LAX12 PUE - PM & Owners Rep,"Other (Owner's Rep, Ops Support, etc.)"
Logan Pass Construction,VZW Aurora Plenum Rebuild,Logan Pass Construction VZW Aurora Plenum Rebuild,MSI
Digital Realty Trust,PUE Submetering - Bucket 2 - Amendment 2,Digital Realty Trust PUE Submetering - Bucket 2 - Amendment 2,Design
Digital Realty Trust,DFW10 - Energy Audit Implementation,Digital Realty Trust DFW10 - Energy Audit Implementation,Design
Stromquist ,Distech ,Stromquist  Distech ,MSI
Verizon Wireless,Yonkers MSC ,Verizon Wireless Yonkers MSC ,Design
IEC Systems,MSI Opportunity / Partner,IEC Systems MSI Opportunity / Partner,MSI
Quality Technology Services,FTW Phase 1 & 2 Cx,Quality Technology Services FTW Phase 1 & 2 Cx,Commissioning
Verizon Wireless,New England East Switches - NDIR385,Verizon Wireless New England East Switches - NDIR385,Design
VTS,Nontraditional Services,VTS Nontraditional Services,MSI
"Citigroup, Inc.",BAS Remote Access and SMS Text Notifications,"Citigroup, Inc. BAS Remote Access and SMS Text Notifications",MSI
Verizon Wireless,Westland NDIR385 Study,Verizon Wireless Westland NDIR385 Study,Design
QTS,FTW PHASE 1 & 2 Cx,QTS FTW PHASE 1 & 2 Cx,Commissioning
Quality Technology Services,FTW PHASE 1 & 2 Cx,Quality Technology Services FTW PHASE 1 & 2 Cx,Commissioning
Verizon Wireless,Test,Verizon Wireless Test,Design
Verizon Wireless,test,Verizon Wireless test,Design
Little Silver School District,test,Little Silver School District test,Design
Verizon Wireless,East Syracuse NDIR385 Eng Services,Verizon Wireless East Syracuse NDIR385 Eng Services,Energy Management
Digital Ocean,LON1 Electrical Audit,Digital Ocean LON1 Electrical Audit,Design
Technical Engineering Trading Inc,Chiller Optimization,Technical Engineering Trading Inc Chiller Optimization,MSI
Distech Controls Energy Services Inc.,Miami - Chiller Optimization,Distech Controls Energy Services Inc. Miami - Chiller Optimization,MSI
"Citigroup, Inc.",BAS Remote Access and SMS Text Notifications,"Citigroup, Inc. BAS Remote Access and SMS Text Notifications",MSI
"Citigroup, Inc.","SWDC (Roanoke, TX) - UPS Replacement and Infrastructure Expansion - Due Diligence and SD","Citigroup, Inc. SWDC (Roanoke, TX) - UPS Replacement and Infrastructure Expansion - Due Diligence and SD",Design
Verizon Wireless,New England East Switches NDIR385,Verizon Wireless New England East Switches NDIR385,Energy Management
Verizon Wireless,Westland NDIR385 Study,Verizon Wireless Westland NDIR385 Study,Energy Management
Verizon Wireless,Fort Wright CRAN Medium Hub Design,Verizon Wireless Fort Wright CRAN Medium Hub Design,Design
Crown Castle,Small Cell Deployment (Foresite Group),Crown Castle Small Cell Deployment (Foresite Group),Design
Internap,Secaucus Cx Services - New Electrical Gear,Internap Secaucus Cx Services - New Electrical Gear,Cx
NBCUniversal,Englewood Cliffs - Heat Exchanger Mod Feasibility Study,NBCUniversal Englewood Cliffs - Heat Exchanger Mod Feasibility Study,"Other (Owner's Rep, Ops Support, etc.)"
Verizon Wireless,Test,Verizon Wireless Test,Design
Verizon Wireless,Yonkers NDIR385 Cold Aisle Design,Verizon Wireless Yonkers NDIR385 Cold Aisle Design,Energy Management
Verizon Wireless,Yonkers Plant 2 - 10k Expansion Design,Verizon Wireless Yonkers Plant 2 - 10k Expansion Design,Design
AWS   ,PDX063,AWS    PDX063,Cx
Verizon Wireless,Mililani Corroded Fuel Line - Permitting,Verizon Wireless Mililani Corroded Fuel Line - Permitting,Design
"Foresite Group, Inc",Breckinridge Small Cell Buildout,"Foresite Group, Inc Breckinridge Small Cell Buildout",Design
STG Design  ,Jack Tisdale,STG Design   Jack Tisdale,Design
Digital Realty Trust,IAD30 - PUE Submetering Design ,Digital Realty Trust IAD30 - PUE Submetering Design ,Design
MGroup Architects,"DLR - Digital - Brickyard Manassas Building 3, VA","MGroup Architects DLR - Digital - Brickyard Manassas Building 3, VA",Design
"I.C. Thomasson Associates, Inc.",Controls Opportunities / Distech,"I.C. Thomasson Associates, Inc. Controls Opportunities / Distech",MSI
Compass Datacenters,"CMH II - Columbus, OH Cx","Compass Datacenters CMH II - Columbus, OH Cx",Cx
Verizon Wireless,WBV MSC NDIR385 Audit Services,Verizon Wireless WBV MSC NDIR385 Audit Services,Energy Management
"Citigroup, Inc.",San Antonio Fire Protection Evaluation - BAS,"Citigroup, Inc. San Antonio Fire Protection Evaluation - BAS",MSI
Verizon Wireless,West Jordan Thermal Mapping,Verizon Wireless West Jordan Thermal Mapping,MSI
Verizon Wireless,Wallingford NDIR385 Audit,Verizon Wireless Wallingford NDIR385 Audit,Energy Management
Verizon Wireless,VZW Copperfield BMS Expansion,Verizon Wireless VZW Copperfield BMS Expansion,MSI
Verizon Wireless,VZW Copperfield BMS Hardening,Verizon Wireless VZW Copperfield BMS Hardening,MSI
IEC Systems,Fort Benning,IEC Systems Fort Benning,MSI
Verizon Wireless,Dallas Data Center RFP ,Verizon Wireless Dallas Data Center RFP ,Design
Warner Summers  ,Atlanta Local Projects,Warner Summers   Atlanta Local Projects,Design
"Citigroup, Inc.",San Antonio - B3 Battery Integration to BAS,"Citigroup, Inc. San Antonio - B3 Battery Integration to BAS",MSI
Quest Controls,VZW Southlake MSI,Quest Controls VZW Southlake MSI,MSI
Digital Realty Trust,"PHX15 - Chandler, AZ - Chiller Design","Digital Realty Trust PHX15 - Chandler, AZ - Chiller Design",Design
Verizon Wireless,Bridgeville #2 Additional Power and Cooling A&E,Verizon Wireless Bridgeville #2 Additional Power and Cooling A&E,Design
Quality Technology Services,FTW Phase 1 and Phase 2 - Project Lonestar Cx,Quality Technology Services FTW Phase 1 and Phase 2 - Project Lonestar Cx,Cx
Verizon Wireless,"Lenexa, WJ, Tulsa NDIR385 Design","Verizon Wireless Lenexa, WJ, Tulsa NDIR385 Design",Energy Management
Verizon Wireless,Hillsboro Cabinet Intake Monitoring Systems - Thermal Mapping,Verizon Wireless Hillsboro Cabinet Intake Monitoring Systems - Thermal Mapping,MSI
Verizon Wireless,Branchburg Lighting,Verizon Wireless Branchburg Lighting,Design
Verizon Wireless,DFW Chiller RCx & EHOP,Verizon Wireless DFW Chiller RCx & EHOP,Cx
"Citigroup, Inc.","BAS Point to Point Checkout - San Antonio, TX","Citigroup, Inc. BAS Point to Point Checkout - San Antonio, TX",MSI
Verizon Wireless,Ingleside CRAN Small HUB - A&E Services,Verizon Wireless Ingleside CRAN Small HUB - A&E Services,Design
AWS   ,IAD115 (IAD 115),AWS    IAD115 (IAD 115),Cx
Digital Ocean,SGP1 - Electrical Audit,Digital Ocean SGP1 - Electrical Audit,Design
"Facebook, Inc.",PRN - ESS Generator Testing,"Facebook, Inc. PRN - ESS Generator Testing",Cx
"Ameresco, Inc.",Alabama VA Hospital ,"Ameresco, Inc. Alabama VA Hospital ",MSI
"Ameresco, Inc.",GA VA Hospital,"Ameresco, Inc. GA VA Hospital",MSI
"Ameresco, Inc.",Florida VA Hospital,"Ameresco, Inc. Florida VA Hospital",MSI
Verizon Wireless,N. Antioch CRAN Small HUB - A&E Services,Verizon Wireless N. Antioch CRAN Small HUB - A&E Services,Design
Verizon Wireless,Spring Grove - CRAN Small HUB - A&E Services,Verizon Wireless Spring Grove - CRAN Small HUB - A&E Services,Design
Digital Realty Trust,"Broderick Building - PBB, Shell & 1st DR Suite","Digital Realty Trust Broderick Building - PBB, Shell & 1st DR Suite",Design
Verizon Wireless,DT  McHenry CRAN Small HUB - A&E Services,Verizon Wireless DT  McHenry CRAN Small HUB - A&E Services,Design
Epsten Group,GA Tech - CxA IDIQ,Epsten Group GA Tech - CxA IDIQ,Cx
Turner - CT,Potential Partnership - Chris Meyer,Turner - CT Potential Partnership - Chris Meyer,Design
XEC Construction - KS,Potential Parnership - Charlie Martel,XEC Construction - KS Potential Parnership - Charlie Martel,Cx
JLJ Construction - GA,Potential Partnership - Brian Deleshaw,JLJ Construction - GA Potential Partnership - Brian Deleshaw,Design
Verizon Wireless,Cold Spring II CRAN HUB - A&E Design,Verizon Wireless Cold Spring II CRAN HUB - A&E Design,Design
Alterman Management Group,B3 UPS Battery Integration to UPS,Alterman Management Group B3 UPS Battery Integration to UPS,MSI
Digital Realty Trust,PHX15 - Dehumidification Control,Digital Realty Trust PHX15 - Dehumidification Control,Design
Digital Realty Trust,"LAX10 - CRAC Retrofit w/ VFDs - Suites 130, 140, 520","Digital Realty Trust LAX10 - CRAC Retrofit w/ VFDs - Suites 130, 140, 520",Design
Digital Realty Trust,ACC2 - Chiller Upgrade Study,Digital Realty Trust ACC2 - Chiller Upgrade Study,Design
Digital Realty Trust,IAD12 - Ashburn Building B - Chiller Upgrade,Digital Realty Trust IAD12 - Ashburn Building B - Chiller Upgrade,Design
Digital Realty Trust,ATL13 - iCOM Optimization - Floors 7 & 10,Digital Realty Trust ATL13 - iCOM Optimization - Floors 7 & 10,Design
Digital Realty Trust,ATL13 - CRAC TCO and EOL Upgrade / Capacity Study (Telx),Digital Realty Trust ATL13 - CRAC TCO and EOL Upgrade / Capacity Study (Telx),"Other (Owner's Rep, Ops Support, etc.)"
Digital Realty Trust,HVN10 - Economizer Retrofit Study,Digital Realty Trust HVN10 - Economizer Retrofit Study,Design
Digital Realty Trust,ORD12 - Chiller Plant Efficiency Optimization Study,Digital Realty Trust ORD12 - Chiller Plant Efficiency Optimization Study,Design
Digital Realty Trust,DFW10 - HVAC Study - Glycol Upflow DX Units,Digital Realty Trust DFW10 - HVAC Study - Glycol Upflow DX Units,Design
Digital Realty Trust,BOS14 - 5 Year Energy Master Plan and Audit,Digital Realty Trust BOS14 - 5 Year Energy Master Plan and Audit,Energy Management
Digital Realty Trust,JFK10 - Replace 18 EOL CRAC Units,Digital Realty Trust JFK10 - Replace 18 EOL CRAC Units,Design
Digital Realty Trust,DFW10 - Colo CFD Modeling / Air Management Remediation,Digital Realty Trust DFW10 - Colo CFD Modeling / Air Management Remediation,Specialty Services
Digital Realty Trust,HVN10 - Air Management Improvements,Digital Realty Trust HVN10 - Air Management Improvements,Design
Verizon Wireless,Newport News MSI,Verizon Wireless Newport News MSI,MSI
Chayora,Cx Qualifications,Chayora Cx Qualifications,Design
"Foresite Group, Inc",San Antonio Data Center,"Foresite Group, Inc San Antonio Data Center",Design
Tectonic Engineering - Tony Gualtieri,Tectonic - Partnership - Multiple States,Tectonic Engineering - Tony Gualtieri Tectonic - Partnership - Multiple States,Design
Verizon Wireless,Knoxville NDIR385 Audit,Verizon Wireless Knoxville NDIR385 Audit,Energy Management
Epsten Group,GSU Convocation Center Cx,Epsten Group GSU Convocation Center Cx,Cx
Verizon Wireless,Roanoke Expansion MSI,Verizon Wireless Roanoke Expansion MSI,MSI
Verizon Wireless,New Berlin MSC - CxA,Verizon Wireless New Berlin MSC - CxA,Cx
"Citigroup, Inc.","Chiller Replacement OPSI - New Castle, DE","Citigroup, Inc. Chiller Replacement OPSI - New Castle, DE",Design
"Citigroup, Inc.","Chiller Replacement OPSII - New Castle, DE","Citigroup, Inc. Chiller Replacement OPSII - New Castle, DE",Design
Verizon Wireless,Jersey City (JC) Fire Alarm Replacement,Verizon Wireless Jersey City (JC) Fire Alarm Replacement,Design
Epsten Group,"Mustang - HEN1A - Henderson, NV - Cx Readiness Support - Holder","Epsten Group Mustang - HEN1A - Henderson, NV - Cx Readiness Support - Holder",Cx
"Facebook, Inc.",PRN1 - RO/IW System Upgrade Cx,"Facebook, Inc. PRN1 - RO/IW System Upgrade Cx",Cx
Verizon Wireless,Redmond Ridge Cabinet Intake Monitoring Systems - Thermal Mapping,Verizon Wireless Redmond Ridge Cabinet Intake Monitoring Systems - Thermal Mapping,MSI
"Maser Consulting, PA",Toms River Regional Schools BOE RetroCx ,"Maser Consulting, PA Toms River Regional Schools BOE RetroCx ",Cx
JE Dunn,MSI Partnership,JE Dunn MSI Partnership,MSI
Verizon Wireless,Branchburg NDIR385 Audit,Verizon Wireless Branchburg NDIR385 Audit,Energy Management
Verizon Wireless,"Wallingford, CT BAS Replacement","Verizon Wireless Wallingford, CT BAS Replacement",MSI
Spiezle Architectural Group,Ocean County Vocational Technical School - OCVTS BOE Architectural Services,Spiezle Architectural Group Ocean County Vocational Technical School - OCVTS BOE Architectural Services,Design
AWS   ,IAD144 (IAD 144) - Phase 1,AWS    IAD144 (IAD 144) - Phase 1,Cx
"Citigroup, Inc.",B2 Cooling Tower Replacement,"Citigroup, Inc. B2 Cooling Tower Replacement",MSI
Bell Knott,Cable Landing Site - NW Oregon,Bell Knott Cable Landing Site - NW Oregon,Design
Stromquist ,BAS / IT Systems Training,Stromquist  BAS / IT Systems Training,MSI
Smart Building Technologies,MSI Opportunity TBD ,Smart Building Technologies MSI Opportunity TBD ,MSI
AWS   ,IAD081 (IAD 081),AWS    IAD081 (IAD 081),Cx
Verizon Wireless,Rochester MSI - CO (BAS and NOC alarm points from AC UPS and associated gear),Verizon Wireless Rochester MSI - CO (BAS and NOC alarm points from AC UPS and associated gear),MSI
Verizon Wireless,West Jordan MSI - CO (BAS and NOC alarm points from AC UPS and associated gear),Verizon Wireless West Jordan MSI - CO (BAS and NOC alarm points from AC UPS and associated gear),MSI
Verizon Wireless,Branchburg MSI - CO (BAS and NOC alarm points from AC UPS and associated gear),Verizon Wireless Branchburg MSI - CO (BAS and NOC alarm points from AC UPS and associated gear),MSI
Verizon Wireless,Copperfield MSI - CO (BAS and NOC alarm points from AC UPS and associated gear),Verizon Wireless Copperfield MSI - CO (BAS and NOC alarm points from AC UPS and associated gear),MSI
"Cushman & Wakefield, Inc",New Castle - Electrical Maintenance MOP Support (Citi),"Cushman & Wakefield, Inc New Castle - Electrical Maintenance MOP Support (Citi)","Other (Owner's Rep, Ops Support, etc.)"
Progressive Insurance ,Data Center - Ohio,Progressive Insurance  Data Center - Ohio,Design
Digital Realty Trust,OAK10 Economizer Study,Digital Realty Trust OAK10 Economizer Study,Design
Verizon Wireless,Westside NDIR385,Verizon Wireless Westside NDIR385,Energy Management
Verizon Wireless,Chandler NDIR385,Verizon Wireless Chandler NDIR385,Energy Management
Verizon Wireless,Louisville NDIR385,Verizon Wireless Louisville NDIR385,Energy Management
Digital Realty Trust,PHX15 Chiller Design Services - Chandler AZ,Digital Realty Trust PHX15 Chiller Design Services - Chandler AZ,Design
Digital Realty Trust,"PUE Metering - ORD10 Suite 120A, B, C & D (Detailed PUE Design)","Digital Realty Trust PUE Metering - ORD10 Suite 120A, B, C & D (Detailed PUE Design)",Design
Digital Realty Trust,PUE Additional Design Services T&M,Digital Realty Trust PUE Additional Design Services T&M,Design
Digital Realty Trust,PHX10 Follow Ups to Cooling Study,Digital Realty Trust PHX10 Follow Ups to Cooling Study,Design
Digital Realty Trust,2019 I-UP Budgeting Planning,Digital Realty Trust 2019 I-UP Budgeting Planning,"Other (Owner's Rep, Ops Support, etc.)"
Digital Realty Trust,"Analytics on PUE, Site Data, Etc.","Digital Realty Trust Analytics on PUE, Site Data, Etc.",Energy Management
Digital Realty Trust,2019 PUE Metering Program Management 2019 Q1 & Q2,Digital Realty Trust 2019 PUE Metering Program Management 2019 Q1 & Q2,"Other (Owner's Rep, Ops Support, etc.)"
Verizon Wireless,Aurora BAS Monitoring of Portable Generator,Verizon Wireless Aurora BAS Monitoring of Portable Generator,MSI
Verizon Wireless,West Jordan BAS Monitoring of Portable Generator,Verizon Wireless West Jordan BAS Monitoring of Portable Generator,MSI
AWS   ,PDX064,AWS    PDX064,Cx
Verizon Wireless,Lahser NDIR385,Verizon Wireless Lahser NDIR385,Energy Management
"Facebook, Inc.","LDC2 CxA - Ashburn, VA","Facebook, Inc. LDC2 CxA - Ashburn, VA",Cx
Verizon Wireless,Guion Road Power Operational Procedures,Verizon Wireless Guion Road Power Operational Procedures,"Other (Owner's Rep, Ops Support, etc.)"
"Facebook, Inc.",PRN Chemical Dosing Cx,"Facebook, Inc. PRN Chemical Dosing Cx",Cx
Verizon Wireless,Denison Ave - Medium CRAN Bub - A&E Design,Verizon Wireless Denison Ave - Medium CRAN Bub - A&E Design,Design
Verizon Wireless,North Newport - Medium CRAN Hub - A&E Design,Verizon Wireless North Newport - Medium CRAN Hub - A&E Design,Design
Verizon Wireless,"North Greenbush NY, Windsor CT, & Wallingford CT - DC Plant Monitoring Audits","Verizon Wireless North Greenbush NY, Windsor CT, & Wallingford CT - DC Plant Monitoring Audits",Energy Management
Verizon Wireless,Royal Oak NDIR385,Verizon Wireless Royal Oak NDIR385,Energy Management
Verizon Wireless,Johnstown SAP Expansion Design,Verizon Wireless Johnstown SAP Expansion Design,Design
VTS,"Rockwool Factory Controls - Atlanta, GA","VTS Rockwool Factory Controls - Atlanta, GA",MSI
Verizon Wireless,NC MSC NDIR385,Verizon Wireless NC MSC NDIR385,Energy Management
Verizon Wireless,SC MSC NDIR385,Verizon Wireless SC MSC NDIR385,Energy Management
"Facebook, Inc.",PRN 2/3 Safety Showers Cx,"Facebook, Inc. PRN 2/3 Safety Showers Cx",Cx
Verizon Wireless,Maumee NDIR385,Verizon Wireless Maumee NDIR385,Energy Management
Verizon Wireless,2019 I-77 & SELIG DRIVE A&E CRAN Med HUB,Verizon Wireless 2019 I-77 & SELIG DRIVE A&E CRAN Med HUB,Design
Verizon Wireless,Ravenna CRAN MEDIUM HUB - A&E,Verizon Wireless Ravenna CRAN MEDIUM HUB - A&E,Design
Warner Summers  ,Piedmont Newnan Hospital - Urology Clinic - Pulmonology Space Renovation,Warner Summers   Piedmont Newnan Hospital - Urology Clinic - Pulmonology Space Renovation,Design
Maxair Mechanical,Cobb County Jail,Maxair Mechanical Cobb County Jail,Design
"Facebook, Inc.",PRN1 IDF Admin Cx,"Facebook, Inc. PRN1 IDF Admin Cx",Cx
Quality Technology Services,Sunshine Cx – Hogan 3-2,Quality Technology Services Sunshine Cx – Hogan 3-2,Commissioning
Verizon Wireless,Farmingdale NSTD385 Audit ,Verizon Wireless Farmingdale NSTD385 Audit ,Energy Management
Verizon Wireless,Laight St  NSTD385 Audit,Verizon Wireless Laight St  NSTD385 Audit,Energy Management
Verizon Wireless,Mineola  NSTD385 Audit ,Verizon Wireless Mineola  NSTD385 Audit ,Energy Management
Verizon Wireless,Whitestone NSTD385 Audit ,Verizon Wireless Whitestone NSTD385 Audit ,Energy Management
Verizon Wireless,West Nyack  NSTD385 Audit,Verizon Wireless West Nyack  NSTD385 Audit,Energy Management
"Facebook, Inc.",EAG Seasonal Cx and Deferred Testing,"Facebook, Inc. EAG Seasonal Cx and Deferred Testing",Cx
Walgreens,Walgreens EMS Conversion - BAS Retro Cx 1300 Sites,Walgreens Walgreens EMS Conversion - BAS Retro Cx 1300 Sites,MSI
Verizon Wireless,Springfield BAS MSI,Verizon Wireless Springfield BAS MSI,MSI
Verizon Wireless,Rockford BAS MSI,Verizon Wireless Rockford BAS MSI,MSI
Allen Morris Company,Star Metals Development - MSI Services,Allen Morris Company Star Metals Development - MSI Services,MSI
Randall-Paulson Architects,Piedmont Rockdale,Randall-Paulson Architects Piedmont Rockdale,Design
Digital Realty Trust,"PHX15 - Adiabatic Unit Chilled Water Bypass Loop Design – Chandler, AZ ","Digital Realty Trust PHX15 - Adiabatic Unit Chilled Water Bypass Loop Design – Chandler, AZ ",Design
"Facebook, Inc.",PRN VESDA Cx,"Facebook, Inc. PRN VESDA Cx",Cx
"Facebook, Inc.",PRN Golf Charging Station Cx,"Facebook, Inc. PRN Golf Charging Station Cx",Design
"Citigroup, Inc.",San Antonio - Campus Building Envelope Upgrades - Project Admin Oversight,"Citigroup, Inc. San Antonio - Campus Building Envelope Upgrades - Project Admin Oversight","Other (Owner's Rep, Ops Support, etc.)"
Verizon Wireless,Anchorage DC Plant Expansion,Verizon Wireless Anchorage DC Plant Expansion,Design
Verizon Wireless,Redmond Inverter Upgrade - A&E ,Verizon Wireless Redmond Inverter Upgrade - A&E ,Design
Verizon Wireless,North Seattle Load Bank Addition - A&E,Verizon Wireless North Seattle Load Bank Addition - A&E,Design
Verizon Wireless,DFW Expansion MSI,Verizon Wireless DFW Expansion MSI,MSI
Verizon Wireless,San Antonio Renovation MSI,Verizon Wireless San Antonio Renovation MSI,MSI
Verizon Wireless,Westborough NDIR385,Verizon Wireless Westborough NDIR385,Energy Management
Digital Realty Trust,MIA10 Cooling Tower Assessment,Digital Realty Trust MIA10 Cooling Tower Assessment,"Other (Owner's Rep, Ops Support, etc.)"
Verizon Wireless,Wayne NDIR385,Verizon Wireless Wayne NDIR385,Energy Management
Verizon Wireless,KSMO & GP MSCs NDIR385,Verizon Wireless KSMO & GP MSCs NDIR385,Energy Management
Digital Realty Trust,SJC10 VFD Chiller & Controls,Digital Realty Trust SJC10 VFD Chiller & Controls,MSI
Digital Realty Trust,ATL13 Implementation Follow Up - Continuous Cx for Energy Work,Digital Realty Trust ATL13 Implementation Follow Up - Continuous Cx for Energy Work,Cx
Digital Realty Trust,ORD10 Continuous Cx for Energy Work,Digital Realty Trust ORD10 Continuous Cx for Energy Work,Cx
Digital Realty Trust,DFW10 Continuous Cx for Energy Work,Digital Realty Trust DFW10 Continuous Cx for Energy Work,Cx
Verizon Wireless,Windsor Plan C - DC Plant,Verizon Wireless Windsor Plan C - DC Plant,Design
Verizon Wireless,Wall NDIR385,Verizon Wireless Wall NDIR385,Energy Management
"NBC Facilities, LLC",Englewood Cliffs 75kVA Load Transition,"NBC Facilities, LLC Englewood Cliffs 75kVA Load Transition",Design
Verizon Wireless,St. Louis 7400A Hardening Design ,Verizon Wireless St. Louis 7400A Hardening Design ,Design
Verizon Wireless,West Roxbury HVAC Upgrade Cx Services,Verizon Wireless West Roxbury HVAC Upgrade Cx Services,Cx
Verizon Wireless,Buffalo Rochester NDIR385,Verizon Wireless Buffalo Rochester NDIR385,Energy Management
Verizon Wireless,Whites Creek NDIR385,Verizon Wireless Whites Creek NDIR385,Energy Management
NBCUniversal,NBCU EC Water Service Filtration,NBCUniversal NBCU EC Water Service Filtration,Design
Onboard IO,MSI - Boston,Onboard IO MSI - Boston,Design
Verizon Wireless,43 & Saulk Trail CRAN A&E,Verizon Wireless 43 & Saulk Trail CRAN A&E,Design
Verizon Wireless,NTUNY Albany NDIR385 ,Verizon Wireless NTUNY Albany NDIR385 ,Energy Management
Verizon Wireless,Lenexa KS MSC Roof Upgrade Design,Verizon Wireless Lenexa KS MSC Roof Upgrade Design,Design
Verizon Wireless,Software Contract,Verizon Wireless Software Contract,Design
XEC Construction - KS,IPAWS Opportunity ,XEC Construction - KS IPAWS Opportunity ,Cx
Verizon Wireless,Newport News (Lee Hall) HVAC AE Services,Verizon Wireless Newport News (Lee Hall) HVAC AE Services,Design
Digital Realty Trust,SO10/200 Paul EC Fan Upgrade,Digital Realty Trust SO10/200 Paul EC Fan Upgrade,Design
Allen Morris Company,Maitland City Center FL - Public Safety DAS Review,Allen Morris Company Maitland City Center FL - Public Safety DAS Review,"Other (Owner's Rep, Ops Support, etc.)"
AWS   ,IAD144 (IAD 144) - Phase 2,AWS    IAD144 (IAD 144) - Phase 2,Cx
AWS   ,IAD144 (IAD 144) - Phase 3,AWS    IAD144 (IAD 144) - Phase 3,Cx
AWS   ,IAD144 (IAD 144) - Phase 4,AWS    IAD144 (IAD 144) - Phase 4,Cx
Verizon Wireless,Wilmington MSI,Verizon Wireless Wilmington MSI,MSI
NBCUniversal,"Rockefeller Center, NYC - Studio 1A UPS Upgrade","NBCUniversal Rockefeller Center, NYC - Studio 1A UPS Upgrade",Design
NBCUniversal,Rockefeller Center NYC - 4E UPS System Contraction/Refresh,NBCUniversal Rockefeller Center NYC - 4E UPS System Contraction/Refresh,Design
